Id,Datum,Ort,Stadt,Bericht,Ermittler
1,6/1/2024,Kirche,Reinbek,Um 7:43 Uhr wurde ein Feuer in der Kirche gelegt. Am Tatort wurden Reste von Benzin gefunden. Außerdem wurde eines der Fenster der Kapelle eingeschlagen.,Alexander Wolf
2,6/3/2024,Park,Hamburg,Um 15:10 Uhr wurde eine alte Frau im Park von einer nicht identifizierten Person überfallen. Dabei wurde ihre Tasche mit ihrer Brieftasche gestohlen.,Jonas Faber
3,6/4/2024,Juwelier,Norderstedt,Um 16:34 Uhr fand ein bewaffneter Überfall auf den Juwellier Gold und Silber statt. Dabei wurden zwei von vier Tätern festgenommen.,Lukas Schuster
4,6/10/2024,Schwimmbad,Kiel,"Um _______ Uhr ____ ein Mann ___________ . Seither _____ … Nachtrag. Dieser Bericht konnte nur lückenhaft übernommen werden, weil ein Polizist Kaffee über den Bericht verschüttet hat.",Alexander Wolf
5,6/13/2024,Schule,Kiel,Um 8:59 Uhr wurde Graffiti in der Mädchentoilette der Gesamtschule gefunden. Die Spraydosen wurden hinter dem Hauptgebäude in einem Mülleimer gefunden.,Alexander Wolf
6,6/22/2024,Parkplatz,Rendsburg,Um 23 Uhr wurde in der Hänselstraße ein Auto in Brand gesteckt. Am Tatort wurde Brandbeschleuniger gefunden.,Julia Groß
7,6/17/2024,Tankstelle,Neumünster,Gegen 20 Uhr wurde die Tankstelle Ecke Mühlenstraße überfallen. Der Täter entkam mit dem Einnahmen des Tages.,Alexander Wolf
8,6/18/2024,Marktplatz,Kaltenkirchen,"Um 12:12 Uhr gab es am Marktplatz einen versuchten Diebstahl eines Fahrrads. Der Dieb floh ohne Fahrrad, als eine Frau ihn auf sein Vorhaben ansprach.",Jonas Faber
9,6/6/2024,Garage,Norderstedt,Gegen 17:49 Uhr entwedete ein Mann mit blonden Haaren Werkzeug aus der Garage von Herrn S.,Lukas Schuster
10,6/21/2024,Garten,Lübeck,Gegen 14 Uhr betrat ein Einbrecher den Garten von Frau S. Er traf auf Herrn S und es kam zu einem Kampf. Der Einbrecher entkam.,Alexander Wolf
11,6/9/2024,Fitnessstudio,Bad Oldesloe,Um 1 Uhr morgens schlug ein Unbekannter eine Fensterscheibe ein und stahl mehrere hochwertige Trainingsgeräte.,Jan Lehmann
12,6/23/2024,Flughafen,Husum,Um 16:18 Uhr fanden Zollbeamte mehrere Kilogramm Kokain im Gepäck eines Reisenden. Der Verdächtige wurde festgenommen und das Rauschgift sichergestellt.,Jan Lehmann
13,6/8/2024,Restaurant,Quickborn,Gegen 19 Uhr stahl der Dieb eine Handtasche vom Tisch. ,Julia Groß
14,6/2/2024,Bank,Husum,Um 19:51 Uhr fand ein bewaffneter Raub durch drei männliche Personen in der örtlichen Bank statt. Es wurde niemand verletzt.,Jan Lehmann
15,6/20/2024,Kunstgalerie,Heide,Um 11:32 Uhr wurde das Fenster der Kunstgalerie eingeworfen.,Jan Lehmann
16,6/21/2024,Tankstelle,Henstedt-Ulzburg,Um 21 Uhr bedrohten zwei maskierte Personen den Kassierer mit einer Schusswaffe und entwendeten Bargeld. Die Täter flüchteten mit einem Motorrad.,Tobias Scholz
17,6/13/2024,Wohnung,Quickborn,Gegen 13 Uhr brach der Täter ein Küchenfenster auf und entwendete mehrere Schmuckstücke und Bargeld im Wert von ca. 5.000 Euro.,Julia Groß
18,6/7/2024,Einkaufsstraße,Eckernförde,Um 17:44 Uhr wurde eine ältere Dame von einem jungen Mann angegriffen und ihre Handtasche wurde entrissen. ,Tobias Scholz
19,6/11/2024,Supermarkt,Kiel,Um 12:09 Uhr bedrohten maskierte Personen das Personal mit einem Messer und raubten die Tageseinnahmen.,Alexander Wolf
20,6/19/2024,Museum,Hamburg,Um 6 Uhr wurde ein Gemälde im Wert von mehreren Millionen Euro gestohlen. Der Täter deaktivierte die Alarmanlage.,Jonas Faber
21,6/24/2024,Kino,Heide,Gegen 18 Uhr brach der Täter durch den Hintereingang ins Kino ein und stahl die Tageseinnahmen aus dem Büro. Keine Zeugen.,Alexander Wolf
